date,MidSac at WilkinsSlough, Sutter Bypass,Sutter Bypass as a percent of Sacramento,Low sac at SacAmerican,YoloBypass,Yolo as a percent of Sacramento,LowSJ at Merced,UpSac atRedBluff,UpSJ at LanderAve
7/1/1972,8475,0,0,14814,931.8,6.29%,818.7,12803,945.7
8/1/1972,4095,0,0,7086,1077,15.20%,943.4,5972,1030
9/1/1972,4095,0,0,11702,869.5,7.43%,1193,4793,1158
10/1/1972,4929,0,0,9351,797.1,8.52%,710.9,5790,403.7
11/1/1972,4107,0,0,6964,260.3,3.74%,1088,4176,264.1
12/1/1972,4280,0,0,7474,218.8,2.93%,602.5,3627,133.2
1/1/1973,5097,19070,3.74141652,10629,256.9,2.42%,573.2,4112,169.6
2/1/1973,4986,21316,4.275170477,8321,270.5,3.25%,572.5,3905,133.3
3/1/1973,4624,4784,1.034602076,8328,1668,20.03%,891.4,4102,563.4
4/1/1973,5694,0,0,7900,646.5,8.18%,471.9,6031,227.6
5/1/1973,3648,0,0,5854,545,9.31%,1299,4132,606
6/1/1973,7113,0,0,6715,669.2,9.97%,562,13097,587.8
7/1/1973,6846,0,0,8271,1020,12.33%,717.6,11683,877.6
8/1/1973,5104,0,0,6529,2197,33.65%,1092,8626,1187
9/1/1973,3250,0,0,6844,1273,18.60%,1167,3892,1196
10/1/1973,9716,0,0,11569,553.6,4.79%,778,11022,597
11/1/1973,5070,19139,3.77495069,11223,535.2,4.77%,410.4,4230,169.1
12/1/1973,8206,18461,2.249695345,16893,487.9,2.89%,809,6230,348.3
1/1/1974,31953,51110,1.59953682,73192,7766,10.61%,1410,18128,924.5
2/1/1974,27222,0,0,48692,5539,11.38%,5935,18886,5026
3/1/1974,27697,29061,1.049247211,72767,3011,4.14%,10775,21762,7742
4/1/1974,24007,6027,0.2510517766,48185,394.1,0.82%,13150,19890,10770
5/1/1974,7521,0,0,25917,355.2,1.37%,12385,8311,7981
6/1/1974,6393,0,0,16495,719.8,4.36%,4610,14029,2283
7/1/1974,6811,0,0,18993,989,5.21%,1933,13010,1143
8/1/1974,5064,0,0,15124,1010,6.68%,2006,9977,1289
9/1/1974,4715,0,0,9788,1098,11.22%,2553,5613,1642
10/1/1974,4715,0,0,10475,606.4,5.79%,1538,5539,883.7
11/1/1974,4715,0,0,12580,610,4.85%,1471,4705,1033
12/1/1974,4715,0,0,11176,230.6,2.06%,691.1,4168,148
1/1/1975,6160,0,0,17933,1867,10.41%,1265,4877,623.5
2/1/1975,13205,6286,0.4760318061,30123,1082,3.59%,3088,8247,1332
3/1/1975,22634,28050,1.23928603,44448,799.1,1.80%,4489,18481,1733
4/1/1975,11371,0,0,26489,258.4,0.98%,5713,10029,3300
5/1/1975,3800,0,0,15194,356.9,2.35%,3436,6999,783.9
6/1/1975,7702,0,0,19465,779.8,4.01%,1471,15672,1211
7/1/1975,4910,0,0,9807,1046,10.67%,1420,10519,1222
8/1/1975,3800,0,0,9700,931,9.60%,1993,8419,1238
9/1/1975,3800,0,0,8155,1040,12.75%,1463,5276,1084
10/1/1975,3976,0,0,9413,840,8.92%,1174,4184,841.7
11/1/1975,6986,0,0,13919,530,3.81%,2149,5382,1222
12/1/1975,10509,0,0,20751,1157,5.58%,808.4,7252,271
1/1/1976,13804,0,0,47222,3962,8.39%,5209,8484,1845
2/1/1976,54173,0,0,74309,42393,57.05%,14209,42524,7202
3/1/1976,23757,0,0,44145,1337,3.03%,7917,19597,6019
4/1/1976,13661,0,0,28895,329,1.14%,8123,12238,6743
5/1/1976,5036,0,0,14566,379.6,2.61%,3561,7577,1713
6/1/1976,6379,0,0,18073,783.2,4.33%,6515,12055,2603
7/1/1976,4961,0,0,17749,904.9,5.10%,3503,10771,1625
8/1/1976,4210,0,0,8528,1034,12.12%,2292,9574,1254
9/1/1976,4210,0,0,9265,962.2,10.39%,1838,5096,1344
10/1/1976,4209,0,0,8034,743.5,9.25%,1247,5097,753.1
11/1/1976,4268,0,0,8995,496.4,5.52%,1479,3811,1130
12/1/1976,6115,0,0,14130,300.8,2.13%,678.3,4731,172.9
1/1/1977,10376,0,0,23212,2508,10.80%,814.9,6951,310.9
2/1/1977,11076,0,0,20095,242.2,1.21%,943.3,7973,391
3/1/1977,18559,0,0,34556,540.3,1.56%,1956,15510,1399
4/1/1977,11610,0,0,21625,276.3,1.28%,2887,10362,1819
5/1/1977,5934,0,0,10919,489.5,4.48%,1523,7977,701.8
6/1/1977,8529,0,0,15162,773.2,5.10%,763.4,16449,783.3
7/1/1977,8452,0,0,18025,1078,5.98%,1012,14615,1088
