Date,American River,Antelope Creek,Battle Creek,Bear Creek,Bear River,Big Chico Creek,Butte Creek,Calaveras River,Clear Creek,Cosumnes River,Cottonwood Creek,Cow Creek,Deer Creek,Elder Creek,Feather River,Merced River,Mill Creek,Mokelumne River,Paynes Creek,Sacramento River (Upper),Sacramento River (Upper Mid),Sacramento River (Lower),San Joaquin River,Stanislaus River,Stony Creek,Thomes Creek,Tuolumne River,Yuba River,Yolo Bypass,Sutter Bypass
7/31/1976,2101,9.414471237,31.16406676,7.367175132,12.53204646,12.15794068,25.92640651,13.31,85,19.5419386,55.71829777,41.99978346,23.48987225,6.302897834,10054,182.5,19.96180768,0,4.244207063,10771,4961,17749,2564,474.3,40.65536597,19.42328963,250,700,0,0
8/31/1976,1429,15.1537541,50.16241405,11.85837818,103.9233773,14.52063893,30.9647824,12.25,85,15.65373497,89.6854812,67.60383824,37.80985027,10.14529244,2127,208.3,32.13099465,4,6.831575407,9574,4210,8528,1773,693.1,48.55607583,31.26418335,250,600,0,0
9/30/1976,1168,18.75030157,62.067814,14.67281082,20.56492295,21.47334665,45.79120172,14.85,150,48.39227394,110.9711698,83.64873456,46.78352903,12.55314634,1327,137.3,39.7568705,9,8.45296144,5096,4210,9265,1591,1440,71.80547999,38.68433276,250,500,0,0
10/31/1976,1165,55.54116128,183.8540279,43.46303173,306.620337,49.50023217,105.5576084,7.359,200,220.0838483,328.7129871,247.7799005,138.5797195,37.18427263,1700,354.5,117.7657196,46,25.03891967,5097,4209,8034,1000.05,841.9,165.5255694,114.5887044,706.8,500,0,0
11/30/1976,1643,252.9831634,837.4325009,197.9687678,777.0948119,169.3765684,361.1899317,220.1,200,350.0432301,1497.247257,1128.606994,631.2135903,169.3697917,1700,310.6,536.4083789,76,114.0492017,3811,4268,8995,1304.5,300,566.3842713,521.9374654,506.3,619.2,0,0
12/31/1976,1745,1081.909978,3581.371054,846.6349392,3000.202493,993.5236101,2118.656248,105.4,200,3270.429441,6403.140527,4826.610401,2699.453483,724.3283118,1700,321.7,2294.008699,61,487.7437994,4731,6115,14130,425.6,300.2,3322.278584,2232.122265,1153,622.7,0,0
1/31/1977,2136,484.166296,1602.701882,378.8781978,1066.844387,522.9488296,1115.171088,207.2,200,1586.412612,2865.473925,2159.959819,1208.034329,324.1446727,1700,373.2,1026.593448,88,218.2705711,6951,10376,23212,562.9,358.5,1748.707006,998.8986063,1598,1219,0,0
2/28/1977,1629,416.3322623,1378.155617,325.7955346,1387.100398,367.5902775,783.8741124,10.66,200,1723.933866,2464.007205,1857.339029,1038.782892,278.7304404,2805,257.3,882.7627534,114,187.6898111,7973,11076,20095,667.15,364.3,1229.198073,858.9480929,1343,1261,0,0
3/31/1977,2402,301.9663752,999.5782066,236.2999593,1315.738311,247.4754774,527.7332728,72,200,999.5983747,1787.147891,1347.130609,753.4306919,202.1635803,7154,239.3,640.2690663,77,136.1316839,15510,18559,34556,1677.5,200.1,827.5419631,622.9962595,1653,1873,0,0
4/30/1977,2769,153.9862114,509.7298033,120.4999578,790.7316485,149.2948173,318.3662615,4.716,200,494.2041262,911.3469428,686.9623765,384.2081348,103.0922857,4044,176.7,326.5019415,92,69.41965721,10362,11610,21625,2353,1633,499.2321967,317.6937619,1125,1813,0,0
